run_id,GO:0000015,GO:0000123,GO:0000139,GO:0000145,GO:0000148,GO:0000151,GO:0000159,GO:0000178,GO:0000228,GO:0000276,GO:0000439,GO:0000775,GO:0000785,GO:0000786,GO:0000796,GO:0005576,GO:0005578,GO:0005615,GO:0005618,GO:0005622,GO:0005634,GO:0005643,GO:0005664,GO:0005666,GO:0005667,GO:0005672,GO:0005680,GO:0005694,GO:0005727,GO:0005730,GO:0005732,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005742,GO:0005743,GO:0005761,GO:0005763,GO:0005777,GO:0005783,GO:0005789,GO:0005829,GO:0005835,GO:0005839,GO:0005840,GO:0005852,GO:0005856,GO:0005874,GO:0005882,GO:0005885,GO:0005886,GO:0005887,GO:0005890,GO:0005922,GO:0005923,GO:0005940,GO:0005956,GO:0008076,GO:0008250,GO:0008290,GO:0008537,GO:0009274,GO:0009276,GO:0009279,GO:0009288,GO:0009289,GO:0009295,GO:0009317,GO:0009318,GO:0009331,GO:0009341,GO:0009346,GO:0009349,GO:0009360,GO:0009379,GO:0009420,GO:0009424,GO:0009425,GO:0009427,GO:0009428,GO:0009507,GO:0009512,GO:0009521,GO:0009522,GO:0009523,GO:0009539,GO:0009579,GO:0009898,GO:0012506,GO:0015627,GO:0015629,GO:0015934,GO:0015935,GO:0016020,GO:0016021,GO:0016459,GO:0016592,GO:0017119,GO:0019008,GO:0019012,GO:0019028,GO:0019031,GO:0019773,GO:0019867,GO:0030054,GO:0030077,GO:0030115,GO:0030117,GO:0030126,GO:0030127,GO:0030131,GO:0030286,GO:0030288,GO:0030529,GO:0030688,GO:0030700,GO:0030904,GO:0031011,GO:0031012,GO:0031361,GO:0031515,GO:0032040,GO:0033177,GO:0033178,GO:0033179,GO:0033573,GO:0033588,GO:0034457,GO:0042025,GO:0042597,GO:0042601,GO:0042613,GO:0042729,GO:0042765,GO:0043190,GO:0043231,GO:0045095,GO:0045261,GO:0045263,GO:0046806,GO:0048500,GO:0070069,GO:0070823,GO:0071203,GO:0072686,GO:0110001,phenotype
SRR5165688,0.0001725370338419068,3.697222153755145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004288777698355968,0.0,0.0,0.0015651573784230114,0.13351901604594416,0.0001478888861502058,0.0,0.0,0.0,0.0,7.39444430751029e-05,0.0,0.009230731310542013,0.0033521480860713316,0.0,0.0,0.11988859037243352,0.0,0.0,0.0,0.0,8.62685169209534e-05,0.0,0.0,0.0,0.0,0.0,1.2324073845850485e-05,0.0,1.2324073845850485e-05,0.19454782973059576,0.0,1.2324073845850485e-05,8.62685169209534e-05,0.0,0.0,0.009514185008996574,0.00331517586453378,0.0,0.0,0.0,0.0,0.0,1.2324073845850485e-05,0.0,0.0,2.464814769170097e-05,0.0,0.0,0.0009859259076680387,0.0004806388799881689,1.2324073845850485e-05,0.0,0.002144388849177984,0.0021813610707155356,0.001170787015355796,0.014628675655024525,0.0019964999630277783,0.004646175839885632,0.0027112962460871066,0.001454240713810357,0.0,9.859259076680388e-05,0.0010845184984348427,9.859259076680388e-05,0.000406694436913066,0.0,0.0,0.0,0.0,7.39444430751029e-05,2.464814769170097e-05,0.0,0.0,3.697222153755145e-05,1.2324073845850485e-05,0.0,0.002193685144561386,0.0,0.3363732715486431,0.1042616647358951,0.0001478888861502058,0.0,0.0,0.0003943703630672155,1.2324073845850485e-05,0.0005792314707549728,1.2324073845850485e-05,0.0,0.004855685095265091,0.0,3.697222153755145e-05,0.0,0.0,0.0,1.2324073845850485e-05,0.0,0.0,0.003919055482980454,0.0,0.0,4.929629538340194e-05,0.0,0.0,1.2324073845850485e-05,0.0,0.0,0.0,0.0039560277045180055,0.0,7.39444430751029e-05,7.39444430751029e-05,0.0,0.0,0.0,0.0027605925414705087,2.464814769170097e-05,0.0,0.0,0.0,0.005878583224470681,8.62685169209534e-05,0.0,0.007320499864435188,0.005311675827561558,4.929629538340194e-05,0.004658499913731483,0.002674324024549555,0.0,0.0,0.0,0.0,0
SRR6028164,0.0003990447111460443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0230659935306387e-05,0.0,0.0,0.0,6.0461319870612774e-06,0.0,0.0,0.00492155143746788,0.0,0.0,0.0027691284500740653,0.11219202515190907,1.8138395961183832e-05,6.0461319870612774e-06,0.0,0.0,0.0,1.2092263974122555e-05,0.0,0.01064723842921491,0.004818767193687838,0.0,0.0,0.1144653707790441,3.0230659935306387e-05,0.0,0.0,0.0,6.0461319870612774e-06,0.0,0.0,0.0,0.0,0.0,7.255358384473533e-05,7.255358384473533e-05,4.232292390942894e-05,0.15937603917893528,0.0,7.255358384473533e-05,4.836905589649022e-05,0.0,0.0,0.011294174551830467,0.0035611717403790924,0.0,0.0,1.8138395961183832e-05,7.859971583179661e-05,0.0,0.00012092263974122555,0.0,0.0,1.2092263974122555e-05,0.0,0.0,0.00035672178723661536,0.0007013513104991082,3.0230659935306387e-05,3.0230659935306387e-05,0.004322984370748814,0.0019468544998337313,0.0007315819704344146,0.018640224916109917,0.002061731007587896,0.0034221107046766832,0.004601106442153632,0.0009613349859427431,6.0461319870612774e-05,0.00016929169563771577,0.0009734272499168656,6.0461319870612774e-06,6.650745185767406e-05,0.0,0.0,0.0,0.0,5.44151878835515e-05,1.2092263974122555e-05,0.0,6.0461319870612774e-06,1.2092263974122555e-05,1.2092263974122555e-05,0.0,0.0017654705402218931,0.0004292753710813507,0.3606517730282052,0.13311164182714108,3.6276791922367665e-05,0.0,0.0,0.00039299857915898307,0.0,0.0004957828229390247,1.2092263974122555e-05,0.0,0.004462045406451223,0.0,3.6276791922367665e-05,0.0,3.0230659935306387e-05,0.0,0.0,0.0,0.0,0.00416578493908522,0.0,0.0,0.00013906103570240937,0.0,0.0,3.0230659935306387e-05,0.0,6.650745185767406e-05,0.0,0.004468091538438284,0.0,0.0003023065993530639,0.00013301490371534812,0.0,0.0,6.0461319870612774e-06,0.0012092263974122555,2.418452794824511e-05,0.0,0.0,0.0,0.0038030170198615435,6.0461319870612774e-05,0.0,0.007678587623567822,0.006971190181081653,4.232292390942894e-05,0.003524894948456725,0.0015840865806100548,0.0,0.0,0.0,0.0,0
SRR6028165,0.00043131334914815614,1.827598937068458e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.020717661550608e-05,3.6551978741369164e-06,3.6551978741369164e-06,0.0,0.0,3.6551978741369164e-06,0.0,0.0037794746018575717,0.0,3.6551978741369164e-06,0.0017837365625788153,0.11501811150546634,5.482796811205375e-05,3.6551978741369164e-06,0.0,0.0,0.0,5.848316598619066e-05,0.0,0.011038697579893487,0.005906799764605257,3.6551978741369164e-06,0.0,0.12568397890219787,0.0,3.6551978741369164e-06,0.0,3.6551978741369164e-06,1.4620791496547666e-05,0.0,0.0,0.0,0.0,0.0,7.675915535687525e-05,2.924158299309533e-05,2.924158299309533e-05,0.16109919110471047,0.0,1.096559362241075e-05,4.751757236377991e-05,0.0,0.0,0.01359733609178933,0.003878164944459268,0.0,0.0,3.6551978741369164e-06,0.00010600073834997058,0.0,5.848316598619066e-05,0.0,3.6551978741369164e-06,2.5586385118958413e-05,0.0,0.0,0.00023027746607062573,0.0004240029533998823,2.924158299309533e-05,7.310395748273833e-05,0.004565342144797009,0.002057876403139084,0.0006177284407291388,0.018791372270937887,0.0033810580335766477,0.0036625082698851902,0.004660377289524569,0.0011221457473600334,9.13799468534229e-05,9.869034260169675e-05,0.0005848316598619066,1.096559362241075e-05,3.6551978741369164e-06,0.0,0.0,0.0,0.0,2.5586385118958413e-05,1.096559362241075e-05,0.0,0.0,0.0,3.289678086723225e-05,0.0,0.0018933924988029226,0.0004934517130084837,0.3357262695416016,0.13513997580259007,4.3862374489643e-05,0.0,0.0,0.0006689012109670557,0.0,0.0007054531897084248,2.924158299309533e-05,0.0,0.003362782044205963,0.0,1.4620791496547666e-05,0.0,3.6551978741369164e-06,0.0,7.310395748273833e-06,0.0,0.0,0.00687542720125154,0.0,0.0,0.00020834627882580423,0.0,0.0,3.655197874136916e-05,0.0,7.310395748273833e-06,0.0,0.004506858978810818,1.4620791496547666e-05,0.00032896780867232246,0.0,0.0,0.0,0.0,0.002229670703223519,3.6551978741369164e-06,7.310395748273833e-06,0.0,0.0,0.003965889693438554,5.117277023791683e-05,0.0,0.008165712050821871,0.007127635854566987,4.751757236377991e-05,0.003713681040123107,0.00126835366232551,0.0,0.0,0.0,0.0,0
SRR6028170,0.00037455163965488373,7.0503838052684e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.8129797565855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.003882117582775912,0.0,0.0,0.0017097180727775867,0.12682318518714364,3.0845429148049244e-05,0.0,0.0,0.0,0.0,3.0845429148049244e-05,0.0,0.011456873683561148,0.006301280525958632,8.8129797565855e-06,0.0,0.11670588442658347,0.0,0.0,0.0,0.0,4.4064898782927495e-05,0.0,0.0,0.0,0.0,0.0,1.7625959513171e-05,2.2032449391463747e-05,5.7284368417805746e-05,0.18101860420026616,0.0,0.0,7.93168178092695e-05,0.0,0.0,0.01104266363500163,0.0032299570807885853,0.0,0.0,8.8129797565855e-06,5.7284368417805746e-05,0.0,3.5251919026342e-05,0.0,4.40648987829275e-06,3.0845429148049244e-05,0.0,0.0,0.0005023398461253734,0.0009209563845631847,0.000158633635618539,4.847138866122024e-05,0.0034062166759202955,0.00198732693511003,0.0008504525465105006,0.011659572217962615,0.0014585481497149,0.003216737611153707,0.004485806696102019,0.0010795900201817235,0.00016304012549683174,0.00032167376111537073,0.001317540473609532,2.64389392697565e-05,2.2032449391463747e-05,2.2032449391463747e-05,0.0,8.8129797565855e-06,8.8129797565855e-06,5.2877878539513e-05,2.2032449391463747e-05,0.0,0.0,4.4064898782927495e-05,6.609734817439124e-05,0.0,0.0023178136759819863,0.00045827494734244597,0.33751509222783316,0.11895319426451277,3.5251919026342e-05,0.0,0.0,0.00028642184208902874,7.0503838052684e-05,0.0013748248420273378,1.321946963487825e-05,4.40648987829275e-06,0.005970793785086676,0.0,3.0845429148049244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0049925530321056856,0.0,0.0,0.000105755757079026,0.0,0.0,0.0004626814372207387,0.0,4.40648987829275e-06,0.0,0.003710264477522495,3.965840890463475e-05,0.000158633635618539,0.0,0.0,0.0,0.0,0.0031947051617622433,7.491032793097674e-05,0.0,0.0,0.0,0.005649120023971305,0.00029964131172390695,0.0,0.006517198529994977,0.005618274594823256,3.5251919026342e-05,0.0042654822021873815,0.0027584626638112613,0.0,0.0,0.0,0.0,0
SRR6028174,0.0003564738446053625,6.9896832275561275e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0969049682668382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004994128666088853,0.0,3.4948416137780638e-06,0.002250677999273073,0.11253739480526742,3.84432577515587e-05,0.0,0.0,0.0,0.0,2.0969049682668382e-05,0.0,0.009967288282495037,0.006199849022842285,3.4948416137780638e-06,0.0,0.11552198954343389,0.0,0.0,0.0,0.0,0.00017124723907512512,0.0,0.0,0.0,0.0,0.0,7.68865155031174e-05,2.0969049682668382e-05,8.737104034445159e-05,0.16141624961556741,0.0,0.0,2.4463891296446444e-05,0.0,0.0,0.013853552157016244,0.004700561970531495,0.0,0.0,6.9896832275561275e-06,0.00012581429809601028,0.0,7.68865155031174e-05,0.0,0.0,6.9896832275561275e-06,0.0,3.4948416137780638e-06,0.0004787933010875947,0.00030405122039869155,9.436072357200771e-05,5.941230743422708e-05,0.0024393994464170883,0.002072441076970392,0.0007409064221209495,0.015985405541420864,0.0019466267788743814,0.003400480890206056,0.0042147789862163445,0.0010834009002711998,4.892778259289289e-05,7.339167388933934e-05,0.00034249447815025023,1.0484524841334191e-05,3.84432577515587e-05,0.0,0.0,0.0,3.4948416137780638e-06,4.892778259289289e-05,2.0969049682668382e-05,3.4948416137780638e-06,3.4948416137780638e-06,0.0001537730310062348,2.0969049682668382e-05,0.0,0.002124863701177063,0.00035996868621914055,0.36831436799284256,0.12167990046691084,5.242262420667095e-05,0.0,0.0,0.0002970615371711354,3.4948416137780638e-06,0.0012476584561187686,3.4948416137780638e-06,6.9896832275561275e-06,0.005389045768445774,0.0,1.3979366455112255e-05,0.0,1.0484524841334191e-05,0.0,0.0,0.0,0.0,0.003480862247322951,0.0,0.0,0.00028308217071602317,0.0,0.0,9.086588195822965e-05,0.0,2.0969049682668382e-05,0.0,0.003309615008247826,1.747420806889032e-05,0.00020270081359912768,2.4463891296446444e-05,0.0,0.0,0.0,0.002848295915229122,3.145357452400257e-05,6.9896832275561275e-06,0.0,0.0,0.005769983504347583,0.000164257555847569,0.0,0.005546313641065787,0.004780943327648391,0.00021318533844046187,0.003963150390024324,0.003424944781502502,0.0,0.0,0.0,0.0,0
SRR6028175,0.00043735076033681036,5.0270202337564406e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.0270202337564406e-06,0.0,5.0270202337564406e-06,0.0,0.0,0.0,0.0,0.005142641699132839,0.0,5.0270202337564406e-06,0.00266934774412467,0.09301998240542918,4.5243182103807965e-05,0.0,0.0,0.0,0.0,3.5189141636295084e-05,0.0,0.008731934146034938,0.011019228352394118,0.0,0.0,0.1041196430815634,0.0,0.0,0.0,0.0,5.0270202337564406e-06,0.0,5.0270202337564406e-06,0.0,0.0,0.0,4.5243182103807965e-05,1.0054040467512881e-05,3.0162121402538647e-05,0.12766620585647856,0.0,5.0270202337564406e-06,2.5135101168782203e-05,0.0,0.0,0.012637928867663692,0.004187507854719115,0.0,0.0,2.5135101168782203e-05,5.0270202337564406e-05,0.0,0.00013070252607766747,0.0,1.0054040467512881e-05,0.0,0.0,5.0270202337564406e-06,0.0005228101043106699,0.0006585396506220937,7.037828327259017e-05,8.54593439738595e-05,0.002986050018851326,0.001769511122282267,0.0005831343471157472,0.020811863767751664,0.002030916174437602,0.0031770767877340707,0.0036094005278371247,0.0008646474802061078,9.551338444137238e-05,0.0001357295463114239,0.000683674751790876,0.0,0.0,0.0,0.0,0.0,0.0,9.551338444137238e-05,1.0054040467512881e-05,0.0,0.0,5.0270202337564406e-06,1.5081060701269323e-05,0.0,0.0017494030413472415,0.0003217292949604122,0.42314440115621466,0.12333291441498052,1.5081060701269323e-05,0.0,0.0,0.000341837375895438,0.0,0.0009752419253487495,2.0108080935025762e-05,0.0,0.006127937664949102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041523187130828206,0.0,0.0,0.00018097272841523186,0.0,0.0,4.5243182103807965e-05,0.0,0.0,0.0,0.0033580495161493027,5.0270202337564406e-06,9.048636420761593e-05,2.5135101168782203e-05,0.0,0.0,0.0,0.003760211134849818,5.0270202337564406e-06,0.0,0.0,0.0,0.004991831092120146,9.048636420761593e-05,0.0,0.006494910142013322,0.0055347492773658415,5.5297222571320846e-05,0.0033932386577855975,0.0034083197184868667,0.0,0.0,0.0,0.0,0
SRR6028178,0.000648792190352611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5088190473316536e-05,0.0,0.0,0.0,0.0,0.0,0.008328681141270727,0.0,1.5088190473316536e-05,0.0024593750471505952,0.1139761908354331,4.5264571419949605e-05,0.0,0.0,0.0,0.0,1.5088190473316536e-05,0.0,0.008343769331744045,0.0028667561899301417,0.0,0.0,0.10631139007498831,0.0,0.0,0.0,0.0,1.5088190473316536e-05,0.0,0.0,0.0,0.0,0.0,3.017638094663307e-05,0.0,0.0,0.1601460536837817,0.0,0.0,6.035276189326614e-05,0.0,0.0,0.007529007046184951,0.006110717141693197,0.0,0.0,1.5088190473316536e-05,0.0,0.0,3.017638094663307e-05,0.0,0.0,7.544095236658267e-05,0.0,0.0,0.0020519939043710488,0.0007694977141391433,6.035276189326614e-05,1.5088190473316536e-05,0.0020218175234244158,0.0018558474282179339,0.000618615809405978,0.014379045521070657,0.0017502300949047182,0.005160161141874255,0.003666430285015918,0.0008902032379256756,0.0001659700952064819,7.544095236658267e-05,0.0011768788569186898,7.544095236658267e-05,4.5264571419949605e-05,0.0,0.0,0.0,0.0,0.00015088190473316535,4.5264571419949605e-05,0.0,0.0,0.0,6.035276189326614e-05,0.0,0.0021877876186308974,0.0003772047618329134,0.37646544049972086,0.1235571917859891,0.0,0.0,0.0,0.00045264571419949604,0.0,0.0004979102856194457,1.5088190473316536e-05,0.0,0.007800594474704649,0.0,0.0,0.0,4.5264571419949605e-05,0.0,3.017638094663307e-05,0.0,0.0,0.0029120207613500915,0.0,0.0,0.00013579371425984882,0.0,0.0,1.5088190473316536e-05,0.0,0.0,0.0,0.0030327262851366234,1.5088190473316536e-05,6.035276189326614e-05,1.5088190473316536e-05,0.0,0.0,4.5264571419949605e-05,0.0013126725711785385,0.0,1.5088190473316536e-05,0.0,0.0,0.007830770855651282,0.00015088190473316535,0.0,0.006291775427372995,0.005824041522700183,0.00010561733331321575,0.004013458665902198,0.004677339046728126,0.0,0.0,0.0,0.0,0
SRR6028191,0.0003842162384834153,0.0,7.92198429862712e-06,0.0,0.0,0.0,7.92198429862712e-06,0.0,1.584396859725424e-05,3.96099214931356e-06,3.96099214931356e-06,3.96099214931356e-06,0.0,3.96099214931356e-05,0.0,0.0037312546046533736,0.0,0.0,0.002376595289588136,0.11159699281476024,0.00011486877233009324,3.96099214931356e-06,0.0,0.0,0.0,4.753190579176272e-05,3.96099214931356e-06,0.009153852857063638,0.005684023734264959,1.188297644794068e-05,0.0,0.1107968724005989,7.92198429862712e-06,0.0,0.0,0.0,2.772694504519492e-05,0.0,0.0,0.0,1.188297644794068e-05,7.92198429862712e-06,8.714182728489833e-05,2.772694504519492e-05,9.110281943421189e-05,0.1582654023179726,1.188297644794068e-05,3.96099214931356e-06,2.772694504519492e-05,0.0,0.0,0.011443306319366875,0.003422297217006916,0.0,0.0,1.188297644794068e-05,2.772694504519492e-05,1.188297644794068e-05,8.318083513558476e-05,0.0,0.0,1.98049607465678e-05,0.0,0.0,0.0007327835476230087,0.00045155310502174585,2.376595289588136e-05,9.110281943421189e-05,0.002685552677234594,0.001960691113910212,0.0009149891864914324,0.017392716527635844,0.0018893932552225682,0.0033193114211247632,0.003719371628205433,0.0011328437547036782,0.0001386347252259746,0.00016240067812185597,0.0007842764455640849,1.584396859725424e-05,7.92198429862712e-06,0.0,0.0,0.0,3.96099214931356e-06,6.337587438901696e-05,2.376595289588136e-05,0.0,3.96099214931356e-06,6.337587438901696e-05,1.98049607465678e-05,0.0,0.0019290031767157038,0.0003049963954971441,0.38346364997504573,0.11928923956872718,5.545389009038984e-05,7.92198429862712e-06,3.96099214931356e-06,0.00033272334054233906,0.0,0.0010932338332105425,1.584396859725424e-05,0.0,0.004666048751891374,0.0,1.584396859725424e-05,0.0,3.96099214931356e-06,7.92198429862712e-06,1.584396859725424e-05,3.96099214931356e-06,3.96099214931356e-06,0.0043967012857380515,0.0,0.0,7.525885083695764e-05,0.0,0.0,4.753190579176272e-05,0.0,4.357091364244916e-05,1.188297644794068e-05,0.0039451481807163055,7.92198429862712e-06,0.00018616663101773734,0.00012675174877803391,0.0,0.0,0.0,0.0024082832267826445,0.0,3.96099214931356e-06,0.0,0.0,0.004923513241596755,0.00010298579588215256,0.0,0.006880243363357654,0.005961293184716908,8.714182728489833e-05,0.0037035276596081787,0.0024875030697689158,0.0,3.564892934382204e-05,0.0,0.0,0
SRR6028196,0.0004038869598765432,6.028163580246913e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.028163580246913e-06,6.028163580246913e-06,0.0,0.0,0.0,0.0,0.0,0.0049852912808641976,0.0,6.028163580246913e-06,0.0016155478395061729,0.11427589699074074,5.425347222222222e-05,6.028163580246913e-06,0.0,0.0,0.0,1.2056327160493826e-05,0.0,0.00943407600308642,0.018150800540123458,0.0,0.0,0.10819950810185185,0.0,0.0,0.0,6.028163580246913e-06,0.0,0.0,0.0,0.0,6.028163580246913e-06,0.0,4.8225308641975306e-05,0.00015673225308641974,3.616898148148148e-05,0.1622781635802469,0.0,0.0,4.8225308641975306e-05,0.0,0.0,0.007360387731481482,0.0050516010802469135,0.0,0.0,0.0,2.4112654320987653e-05,0.0,2.4112654320987653e-05,0.0,0.0,0.0,0.0,4.219714506172839e-05,0.0015552662037037037,0.00034963348765432097,0.0002953800154320988,8.439429012345679e-05,0.002019434799382716,0.002013406635802469,0.0007957175925925925,0.01613136574074074,0.001826533564814815,0.005768952546296296,0.004334249614197531,0.0011634355709876543,9.645061728395061e-05,0.0001326195987654321,0.0004460841049382716,1.808449074074074e-05,6.028163580246913e-06,0.0,0.0,0.0,0.0,1.808449074074074e-05,0.0,0.0,3.0140817901234566e-05,6.028163580246913e-06,9.04224537037037e-05,0.0,0.001742139274691358,0.00043402777777777775,0.3441056616512346,0.13088951581790123,4.219714506172839e-05,0.0,0.0,0.0004460841049382716,0.0,0.00024715470679012347,6.028163580246913e-06,0.0,0.009735484182098766,0.0,0.0,0.0,6.028163580246913e-06,0.0,0.0,0.0,0.0,0.00480444637345679,0.0,0.0,6.630979938271605e-05,0.0,0.0,6.028163580246913e-06,0.0,7.836612654320987e-05,0.0,0.0037977430555555555,1.2056327160493826e-05,8.439429012345679e-05,0.00028935185185185184,0.0,0.0,4.8225308641975306e-05,0.004069010416666667,0.0,0.0,0.0,0.0,0.00570264274691358,0.0,0.0,0.008499710648148149,0.007993344907407407,3.616898148148148e-05,0.00406298225308642,0.003345630787037037,0.0,0.0,0.0,0.0,0
SRR6028206,0.0005350663755697285,7.811187964521584e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.905593982260792e-06,7.811187964521584e-06,0.0,0.0,0.0,0.0,0.0,0.005612338552508758,0.0,0.0,0.0017575172920173564,0.10962221189409592,5.467831575165109e-05,0.0,0.0,0.0,0.0,1.1716781946782377e-05,0.0,0.009970981436711802,0.011619142097225857,0.0,0.0,0.11783567603879036,3.1244751858086336e-05,0.0,0.0,0.0,2.3433563893564754e-05,0.0,0.0,0.0,3.905593982260792e-06,0.0,7.811187964521584e-05,3.905593982260792e-05,5.467831575165109e-05,0.151900266752069,0.0,0.0,7.030069168069426e-05,0.0,0.0,0.01419683412551798,0.004417226793936956,0.0,0.0,0.0,2.3433563893564754e-05,3.905593982260792e-06,2.3433563893564754e-05,0.0,0.0,3.905593982260792e-06,0.0,0.0,0.00028901395468729864,0.000581933503356858,6.248950371617267e-05,7.811187964521584e-05,0.0028628003889971604,0.002136359908296653,0.0010193600293700667,0.01650894576301637,0.001089660721050761,0.004034478583675398,0.003679069531289666,0.001187300570607281,6.248950371617267e-05,0.00011326222548556297,0.0006288006311439875,3.905593982260792e-06,2.3433563893564754e-05,1.1716781946782377e-05,0.0,0.0,7.811187964521584e-06,3.905593982260792e-05,7.811187964521584e-06,7.811187964521584e-06,0.0,0.0,6.639509769843347e-05,0.0,0.0019957585249352648,0.00040618177415512236,0.3660088344535879,0.12319805657643443,3.905593982260792e-06,0.0,0.0,0.0003593146463679929,3.905593982260792e-06,0.0012302621044121495,0.0,0.0,0.0078892998441668,3.905593982260792e-06,3.905593982260792e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.003971989079959225,0.0,0.0,0.00014450697734364932,0.0,0.0,0.00010154544353878059,7.811187964521584e-06,2.7339157875825545e-05,0.0,0.003327566072886195,0.0,0.00010154544353878059,7.420628566295506e-05,0.0,0.0,0.0,0.0022300941638709122,0.0,0.0,0.0,0.0,0.00611225458223814,0.00041789855610190475,0.0,0.006381740567014135,0.005350663755697285,0.00011716781946782377,0.004163363185090005,0.0039016883882785312,0.0,0.0,0.0,0.0,0
