run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR5983326,0.000101384,0.004917119,0.478785421,0,0,0,5.07E-05,0,0,0.000202768,0.247630152,0.000101384,0,5.07E-05,0,0,0.015511735,0,0.000152076,0.000202768,0.251685507,0.000557611,1
SRR5983327,0,0.002400912,0.087368764,0,0,0,0,4.07E-05,0,4.07E-05,0.23504517,0.000162774,8.14E-05,0,0,0,0.273256287,4.07E-05,0.000162774,4.07E-05,0.399975584,0.001139416,1
SRR5983328,0.000146886,0.010967489,0.422835879,0,0,0,0,0.000293772,0,0.000146886,0.405503329,9.79E-05,0,0,0,0,0.026488445,9.79E-05,0,0,0.132344301,0.001077164,1
SRR5983329,0.000107602,0.008877172,0.528111045,0,0,0,0,0,0,0.000269005,0.356539517,0.00102222,0,5.38E-05,0.000269005,0,0.015602303,0,0,0,0.088233712,0.000860817,0
SRR5983330,0,0.016241879,0.430484758,0,0,0,0.000249875,0.000149925,0,5.00E-05,0.350774613,1.00E-04,5.00E-05,0,5.00E-05,0,0.017841079,5.00E-05,0,0,0.183258371,0.000649675,1
SRR5983331,0,0.018094962,0.412854661,0,0,0,0.00014476,0.00014476,0,0.000289519,0.391719745,0.000289519,0,0,0.00014476,0,0.015344528,0,0,0.00014476,0.159669948,0.000868558,1
SRR5983332,0.000177957,0.015422945,0.359058014,0,0,0,0,0.000415233,0,5.93E-05,0.411021473,0.000415233,0,5.93E-05,5.93E-05,0,0.021532803,0,0,5.93E-05,0.190651323,0.001067742,1
SRR5983333,0,0.007395005,0.531045068,0,0,0,0,0.00083717,0,0.000139528,0.221152505,0.000279057,0,0,0,0,0.033626343,0,0,0,0.203571927,0.001813869,1
SRR5983334,6.16E-05,0.004250862,0.587604731,0,0,0,6.16E-05,0.00018482,0,0,0.138060621,0.001478561,0.000123213,0,0,0,0.018482011,0,0,0,0.248706259,0.000985707,1
SRR5983335,0.000149287,0.003806822,0.453609017,0,0,0,0.000149287,7.46E-05,0,0.000671792,0.440695678,0,0,0,0.000298574,0.001418228,0.0133612,0,0,0.003358961,0.080913637,0.001492872,1
SRR5983336,0,0.018435068,0.437115936,0,0,0,0,0.000409668,0,0.000409668,0.348013109,0.000204834,0,0.000409668,0,0,0.017615731,0,0,0,0.147480541,0.029905776,0
SRR5983337,0,0.003407844,0.57996881,0,0,0,0,0,0,0.000462081,0.153815052,0,0,0,0.00011552,5.78E-05,0.025760989,0,5.78E-05,0,0.227228094,0.00912609,1
SRR5983338,0,0.015939214,0.344892596,0,0,0,0,0.000571298,0,0.000285649,0.43755713,0.000171389,0,0,0.00011426,0,0.037362888,0,0,0,0.161048903,0.002056673,1
SRR5983339,0,0.004449649,0.705386417,0,0,0,0,0.000234192,0,0.000468384,0.141920375,0,0,0,0,0,0.033021077,0,0,0,0.11381733,0.000468384,1
SRR5983340,9.80E-05,0.003136332,0.539449182,0,0,0,0,0,0,0.000196021,0.225717926,0.000196021,9.80E-05,0,0,0,0.008330883,9.80E-05,0,0,0.220425365,0.002156229,1
SRR5983341,0.000345901,0.004842615,0.033206503,0,0,0.000345901,0,0.000345901,0,0.000345901,0.734347976,0,0,0.000345901,0,0,0.121411276,0,0.001037703,0,0.101003113,0.002075406,1
SRR5983342,0,0.022800496,0.378686493,0,0,0,0,0.000247831,0,0,0.459975217,0.001239157,0.000247831,0,0,0,0.024287485,0,0,0,0.112019827,0.000495663,1
SRR5983343,0,0.002885292,0.479169599,0,0,0,7.04E-05,0.014144968,0,7.04E-05,0.194862773,0.000211119,0,0,0,0.00190007,0.000985222,7.04E-05,0,0,0.28156228,0.024067558,1
SRR5983344,0.000158036,0.00205447,0.478691461,0,0,0,0.000158036,0.000948217,0,0,0.122688721,5.27E-05,0,0,0,0,0.09208239,5.27E-05,0,0,0.302639203,0.000474108,1
SRR5983345,0,0.01315265,0.508170586,0,0,0,0.000159426,0.000557991,0,0,0.335113591,0.000159426,0,0,0,0,0.000717417,0,0,0,0.140374651,0.001514548,0
SRR5983346,0,0.007797795,0.489177198,0,0,0,6.72E-05,0.000134445,0,0.000134445,0.253226674,0.000134445,0,0,0,0,0.006655015,0,0,0,0.242202205,0.000470557,1
